personID,textID,interest,complexity,comprehension,familiarity
8,11143,3.67,7.00,2.33,3.00
8,322,1.67,5.50,2.00,2.50
9,3819,2.00,6.00,3.67,1.75
9,7784,3.00,5.50,4.00,2.25
9,322,4.00,4.50,5.33,3.00
9,3775,3.67,4.00,3.00,3.00
9,11143,2.67,6.00,3.67,2.75
9,13165,2.33,5.00,3.67,2.50
9,4504,4.67,2.00,4.67,3.00
9,5938,4.33,4.00,5.33,4.25
9,4584,4.33,3.50,5.00,3.00
9,2725,3.33,3.50,2.33,4.00
9,4701,3.67,3.50,4.67,3.00
9,10879,2.67,2.00,4.00,3.25
9,6046,6.00,1.00,6.67,4.25
9,6474,6.00,6.50,3.00,4.50
9,6366,5.67,4.00,5.67,5.75
9,9977,4.33,4.00,5.67,5.75
9,4094,6.00,2.50,5.33,5.75
9,11299,4.67,2.50,6.00,5.00
10,3775,5.00,2.00,5.67,4.75
10,322,5.67,3.00,5.00,4.00
10,4584,4.33,5.00,4.00,4.50
10,9977,4.00,3.00,5.33,4.25
10,6046,5.00,2.50,5.33,4.25
10,5938,4.00,3.00,5.00,4.50
10,13165,5.67,3.50,5.00,2.75
10,2725,5.00,3.50,5.33,3.75
10,4504,5.67,3.00,4.33,3.75
10,10879,4.33,4.00,4.00,4.00
10,7784,4.00,4.00,4.33,4.00
10,4701,3.67,3.00,5.00,3.75
10,11143,5.67,3.00,5.00,5.00
10,11299,2.67,3.00,4.33,5.00
10,6366,3.00,3.00,4.33,4.50
10,6474,5.33,2.50,5.33,4.75
10,3819,5.67,3.50,4.00,5.00
10,4094,5.00,2.50,6.00,5.50
12,11143,1.33,4.50,2.67,1.25
12,7784,4.00,6.00,3.67,2.00
12,6046,5.00,3.50,6.00,3.00
12,9977,4.33,7.00,2.67,2.75
12,3819,4.67,4.50,4.00,2.75
12,4504,2.67,3.00,6.00,2.75
12,5938,5.33,6.00,4.00,3.50
12,6474,6.00,3.50,4.67,4.50
12,2725,6.67,2.00,5.33,5.00
12,10879,6.00,1.00,5.67,4.25
12,4094,6.67,1.00,6.33,5.25
12,11299,5.33,1.50,4.67,4.50
12,13165,6.00,3.50,6.00,2.75
12,4701,3.67,4.00,4.33,3.75
12,322,5.33,3.50,3.33,3.25
12,6366,3.00,6.50,2.33,3.25
12,4584,2.67,6.50,1.67,3.00
12,3775,2.33,6.50,2.33,2.75
