"document","fix150","sac70","fix300","sacm","sac105","fix600","fixm","sac35","sac140","fix450","sac","pid","tid"
"text338",5,15,19,17,31,16,13,0,16,27,0,"35","13165"
"text339",9,12,20,16,42,21,15,6,14,26,0,"35","2725"
"text340",8,14,33,17,36,17,6,5,16,25,0,"35","322"
"text341",11,27,44,32,85,34,35,8,32,61,0,"35","3775"
"text342",20,40,36,28,83,52,36,13,21,42,0,"35","3819"
"text343",6,17,22,19,41,24,12,4,12,30,0,"35","4094"
"text344",9,16,25,17,41,16,5,1,19,40,0,"35","4504"
"text345",2,15,19,20,34,18,4,2,7,36,0,"35","4584"
"text346",8,19,13,19,46,34,26,5,4,13,0,"35","4701"
"text347",6,17,27,19,30,17,11,4,13,23,0,"35","5938"
"text348",11,41,34,31,77,45,24,3,21,60,0,"35","6046"
"text349",7,15,19,15,46,19,16,1,15,32,0,"35","6366"
"text350",9,10,16,19,45,29,10,1,15,27,0,"35","6474"
"text351",4,18,30,25,58,35,15,9,20,47,0,"35","7784"
"text352",3,14,25,18,41,14,12,4,12,36,0,"35","9977"
"text353",61,70,91,51,50,25,23,47,18,37,0,"36","4094"
"text354",6,43,37,45,81,33,98,21,31,48,0,"36","5938"
