"","personID","textID","interest","complexity","comprehension","familiarity"
"216","14",4504,7,1.85714285714286,7,3
"217","15",4701,3.004,4.81818181818182,4.59281437125748,3.25
"218","15",6046,6.196,2.09090909090909,7,4.5
"219","15",4504,6.196,7,4,3
"220","15",3775,4.996,5.36363636363636,5.20359281437126,4
"221","15",5938,1,5.90909090909091,3.40718562874251,3.5
"222","15",6366,5.8,5.90909090909091,3.40718562874251,4
"223","15",3819,6.604,6.45454545454546,0.999999999999999,5
"224","15",9977,2.596,5.90909090909091,5.79640718562874,4
"225","15",11299,7,1,6.38922155688623,3.5
"226","15",13165,4.204,6.45454545454546,2.79640718562874,4
"227","15",6474,4.996,3.18181818181818,6.38922155688623,5
"228","15",10879,4.996,4.27272727272727,0.999999999999999,3.5
"229","15",2725,6.196,6.45454545454546,5.20359281437126,4.25
"230","15",7784,3.004,7,1.61077844311377,4.25
"231","15",11143,7,7,2.79640718562874,5.25
"232","15",4094,3.4,5.90909090909091,2.20359281437126,5.75
"233","15",322,4.996,3.18181818181818,3.40718562874251,4.75
"234","15",4584,7,5.36363636363636,3.40718562874251,6.75
"235","16",4584,0.999999999999999,7,2.84295612009238,2.75
"236","16",4504,5.5,2.33333333333333,6.0715935334873,2.5
"237","16",6046,6.505,1,7,2.5
"238","16",6366,1.51,4.33333333333333,4.68591224018476,3
"239","16",4094,1.51,5,5.15704387990762,3.25
"240","16",13165,6.01,1.66666666666667,7,2.75
"241","16",2725,5.5,1.66666666666667,7,2.75
"242","16",10879,0.999999999999999,3.66666666666667,5.15704387990762,1.75
"243","16",322,5.005,1.66666666666667,6.54272517321016,2.5
"244","16",11143,0.999999999999999,5.66666666666667,4.22863741339492,2.75
"245","16",9977,0.999999999999999,5,3.77136258660508,2.75
"246","16",7784,6.505,3.66666666666667,5.61431870669746,2.25
"247","16",4701,4.51,1,7,2.5
"248","16",6474,7,1,7,3
"249","16",5938,4.51,1.66666666666667,7,3.75
"250","16",3819,2.5,7,0.999999999999999,3.75
"251","16",3775,2.5,3.66666666666667,5.15704387990762,4
"252","16",11299,3.505,1,7,4.5
"253","17",7784,3,7,1,3
"254","17",13165,6.33,2.33333333333333,6.67,4
"255","17",6366,1,6.33333333333333,2.67,3
"256","17",4094,5.33,1,7,4.5
"257","17",10879,5.33,1.66666666666667,6,3
"258","17",3775,6,1.66666666666667,6.33,4
"259","17",5938,4.33,4.33333333333333,4.33,3.5
"260","17",6474,5.67,1,6.67,5.25
"261","17",4701,5.33,1,7,6
"262","17",9977,1.67,2.33333333333333,5.67,4.5
"263","17",11299,7,1,7,6
"264","17",4504,7,1,7,6.25
"265","17",2725,4.67,2.33333333333333,6,2.5
"266","17",11143,5.33,5,4,2.75
"267","17",3819,2,7,2.33,1.25
"268","17",322,5,2.33333333333333,5.67,2.75
"269","17",4584,1,4.33333333333333,4.33,2.5
"270","17",6046,6.33,1,7,3
"271","19",11143,2.2847965738758,4.6,3.30023094688222,4.75
"272","19",6366,4.85438972162741,2.8,3.30023094688222,4.5
"273","19",9977,2.70877944325482,2.2,5.15704387990762,5.25
"274","19",3819,3.56959314775161,5.2,2.38568129330254,4.75
"275","19",4094,3.56959314775161,3.4,3.30023094688222,5.25
"276","19",6474,5.27837259100642,2.2,5.61431870669746,5.5
"277","19",322,5.27837259100642,2.2,5.61431870669746,2.5
"278","19",10879,6.13918629550321,2.2,5.15704387990762,2.5
"279","19",13165,6.13918629550321,4.6,5.15704387990762,3.25
"280","19",5938,5.27837259100642,2.8,5.61431870669746,3.5
"281","19",3775,6.56316916488223,3.4,7,3.75
"282","19",6046,6.13918629550321,2.2,6.54272517321016,3.5
