"RT","FD.mean","FD.sd","FD.skw","FDE.mean","FDE.sd","FDE.skw","FS.mean","FS.sd","FS.skw","NF","DR","FPS.mean","FPS.sd","FPS.skw","SD.mean","SD.sd","SD.skw","SV.mean","SV.sd","SV.skw","RRS","YDIST","pid","tid"
88479172,586466.5,353749.299101006,0.724281442261916,589963.683453237,352591.434076758,0.725953269245217,77.6252727198563,52.2966279381088,3.46167183451227,140,12.7895526291595,116.356000209804,15.2530601783346,0.509657647368903,45855.1223021583,34198.8867692071,3.20759700581692,0.00283774966551997,0.00231669884465275,1.63149922324851,0.158273381294964,2464.84408046569,13,6366
106694567,496081.106060606,305456.181881175,0.904059901008364,500122.81122449,304359.888581366,0.905981645085092,70.7989832424175,28.1740166668717,0.0868386197141152,198,11.5374400087857,112.953768640736,11.923394666635,3.06213817089914,42997.5025380711,26010.3775901835,2.99004167441007,0.00305508419053003,0.00303910748464558,3.15397681196595,0.208121827411168,4628.24275882487,13,6474
116727414,478883.291479821,310042.230464753,1.05812775648356,485801.575342466,308560.179030445,1.05977964110508,72.9099508374891,36.0447348205892,1.69978926187329,223,10.6992132703987,108.073873208739,7.97823781522183,0.139493266860214,44758.7387387387,30245.7944323746,3.48314711492573,0.00293408298700211,0.00245909030529783,1.61097353806335,0.189189189189189,4445.24273295708,13,7784
97794735,494323.362637363,279299.890931016,0.768977246940333,498705.1,277710.470231784,0.775633681414195,75.3366716955912,37.3595285668551,1.90782348011823,182,11.4299777650436,100.489174945201,6.02681374197718,-0.496909824243035,43247.9723756906,26593.2828449489,3.22496228234269,0.00284958822528601,0.0021918352724412,1.69975605377727,0.193370165745856,3294.72070149153,13,9977
47795978,272183.576642336,197547.295848425,3.69883770388287,288705.464,199148.045872206,3.77339112811976,101.241259948728,42.3734637327463,1.87102964659704,137,3.52313432972898,135.085965865639,13.7055460390058,-6.1171232409515,77256.0882352941,91383.0085927292,3.61676644573662,0.00295435705155117,0.00250648554876292,2.26517220375136,0.294117647058824,4146.09118521382,14,10879
55147488,381356.412698413,239295.416309206,1.39438370499058,393026.338842975,237039.311591367,1.41693206178764,93.0079184851499,43.8078674739166,1.00779739360577,126,6.71725698678823,124.70579775181,7.68207896592511,0.703704757599309,56772.64,74430.1092388887,4.34282760054845,0.00387040716391185,0.00427650325876776,3.49601166516888,0.176,2833.35052863832,14,11143
46851117,389306.12962963,211466.927154243,1.23394089297452,406334.774509804,205191.128341885,1.34817157421752,102.701114545623,35.6382144893028,0.130494347320675,108,8.66734897340342,135.30480104473,10.1396295425805,-0.0523998489801011,44916.4018691589,27693.2587430348,2.26023032842298,0.00354462292671858,0.0023525472521926,1.6530228623836,0.149532710280374,1327.80852935584,14,13165
35799758,248165.512820513,128783.01376685,1.27351233509412,261928.76635514,126142.359262438,1.3043886842292,107.933207226628,61.8673188685659,3.10336387335907,117,4.25569588981295,143.431070741913,6.72877752532493,0.0322372704565637,58313.7327586207,55067.3870875467,2.66787869736928,0.00341584962613167,0.00283119252370799,1.65008858137107,0.25,2107.13512231199,14,322
74400035,315502.361702128,207992.338294017,2.22853720655922,336849.678362573,206196.934586322,2.31733636974261,106.290938195116,60.5949626419819,2.93621530895074,188,3.91094665355158,149.287285284838,29.9724833227601,-2.51041204131454,80671.6096256685,129617.924407598,6.25871176941649,0.00402980437227574,0.00412946909546726,3.20140316283963,0.283422459893048,11457.7600422875,14,3819
51172901,256282.396226415,145540.18791442,2.98536599983608,270138.712328767,143923.307607665,3.18825127774886,121.912798524754,90.8766015321155,2.87013466678293,159,3.88455665807498,136.521903118107,15.0709387443241,-6.29751847677653,65974.6835443038,102046.308241446,6.58933042488209,0.00386489475053605,0.00335274700477374,1.82456878647982,0.240506329113924,3793.92205437542,14,4504
