"start","end","duration","startx","starty","endx","endy"
432101726858,432101760448,33590,410.578034782609,288.839143478261,438.85392,289.656075
432102077159,432102110201,33042,438.85392,289.656075,529.589291304348,278.57512173913
432102476927,432102510204,33277,529.589291304348,278.57512173913,625.66736875,290.2955
432103026841,432103060288,33447,625.66736875,290.2955,728.513816,288.800728
432103460120,432103493527,33407,728.513816,288.800728,799.08422173913,284.1958
432103860132,432103893505,33373,799.08422173913,284.1958,890.352508823529,274.798808823529
432104443469,432104510080,66611,890.352508823529,274.798808823529,420.263768421053,296.868842105263
432104810064,432104844248,34184,420.263768421053,296.868842105263,399.339235294118,312.137229411765
432105393325,432105426719,33394,399.339235294118,312.137229411765,490.544507407407,317.116085185185
432105860020,432105893373,33353,490.544507407407,317.116085185185,575.80235625,321.732875
432106144687,432106177007,32320,575.80235625,321.732875,646.52785,310.39067
432106326595,432106360031,33436,646.52785,310.39067,498.245214814815,310.281111111111
432106793245,432106826615,33370,498.245214814815,310.281111111111,621.581871875,304.892278125
432107345107,432107376663,31556,621.581871875,304.892278125,667.496945652174,317.287913043478
432108126608,432108159889,33281,667.496945652174,317.287913043478,749.11695,314.497133333333
432108443336,432108476555,33219,749.11695,314.497133333333,840.437831481481,314.493501851852
432109359914,432109393088,33174,840.437831481481,314.493501851852,906.530166666667,299.431414285714
432109726462,432109809835,83373,906.530166666667,299.431414285714,428.43853125,311.2327125
432110059811,432110159774,99963,428.43853125,311.2327125,411.271689285714,330.566153571429
432110609698,432110643268,33570,411.271689285714,330.566153571429,499.573465217391,330.296852173913
432111009695,432111043279,33584,499.573465217391,330.296852173913,608.316807843137,328.798949019608
432111876633,432111909675,33042,608.316807843137,328.798949019608,685.254513461538,337.836655769231
432112826344,432112859733,33389,685.254513461538,337.836655769231,791.857195121951,323.354797560976
432113526218,432113559658,33440,791.857195121951,323.354797560976,884.808410344828,328.094127586207
432114026207,432114093007,66800,884.808410344828,328.094127586207,372.328102380952,347.263797619048
432114776514,432114809595,33081,372.328102380952,347.263797619048,467.301634,355.596736
432115626233,432115659514,33281,467.301634,355.596736,549.366359375,358.64163125
432116176426,432116209469,33043,549.366359375,358.64163125,648.540878125,359.249446875
432116726095,432116759598,33503,648.540878125,359.249446875,748.258811111111,353.927722222222
432117192734,432117226105,33371,748.258811111111,353.927722222222,812.433885714286,345.693621428571
432117443796,432117476395,32599,812.433885714286,345.693621428571,894.922469230769,333.439469230769
432117892763,432117943588,50825,894.922469230769,333.439469230769,416.365785714286,343.690428571429
432118042899,432118076346,33447,416.365785714286,343.690428571429,380.227691666667,360.074741666667
432118659394,432118692724,33330,380.227691666667,360.074741666667,858.6302,382.576228571429
432118792745,432118825972,33227,858.6302,382.576228571429,905.749384745763,396.010476271186
